var1,var2,var3,var4,var5,var6,mf
531.385,13058,1.9,250,0.1,0.0407,C31HNO9
531.5075,17335,1.8,237,0.1,0.0307,C26H5N5O9
531.9854,15185,1.6,210,0.1,0.035,C31H65NO5
532.1878,21445,2.1,273,0.1,0.0248,C31O10
533.0003,9333,2,261,0.1,0.0571,C39H64
533.4062,21186,1.6,208,0.1,0.0252,C31H3NO9
533.452,9732,1.8,242,0.1,0.0548,C31H3NO9
533.9973,14437,2.4,308,0.2,0.037,C27H63N7O3
535.0306,13734,3.7,486,0.2,0.039,C32H66N6
535.4741,9259,3.3,436,0.2,0.0578,C34HNO7
536.0124,13982,4.2,547,0.3,0.0383,C32H65N5O
536.0358,12716,4.3,564,0.3,0.0422,C34H69N3O
536.4973,10852,2.6,336,0.2,0.0494,C24H4N6O10
537.0158,10552,13.6,1778,0.9,0.0509,C35H68O3
537.4898,10864,3.7,481,0.2,0.0495,C34H3NO7
538.0417,12602,20.3,2668,1.3,0.0427,C31H67N7
538.4621,18936,2.6,338,0.2,0.0284,C29H2N2O10
538.5096,13288,2.6,335,0.2,0.0405,C35H6O7
539.0143,8275,8,1046,0.5,0.0651,C28H62N10
539.4195,17972,2.2,283,0.1,0.03,C28HN3O10
539.4973,13826,2.2,294,0.1,0.039,C25HN9O7
540.0112,12952,7.7,1017,0.5,0.0417,C31H65N5O2
540.4156,11875,1.8,239,0.1,0.0455,C33O9
540.4772,26217,1.8,232,0.1,0.0206,C20N10O10
540.9331,13186,3.6,467,0.2,0.041,C39H56O
541.0056,15080,3.3,433,0.2,0.0359,C30H64N6O2
541.3956,13676,3.5,456,0.2,0.0396,C28H3N3O10
542.0106,11843,1.7,221,0.1,0.0458,C28H63N9O
542.4048,14179,1.9,248,0.1,0.0383,C33H2O9
542.5059,15851,1.8,236,0.1,0.0342,C34H6O8
542.9279,15516,3.3,434,0.2,0.035,C30H58N2O6
542.9992,10158,1.6,206,0.1,0.0535,C28H62N8O2
543.5079,14213,2.7,356,0.2,0.0382,C27H5N5O9
543.9327,46274,1.7,220,0.1,0.0118,C28H57N5O5
544.0095,13153,2.1,270,0.1,0.0414,C35H65N3O
544.4361,22325,1.6,207,0.1,0.0244,C32O10
544.9216,16817,1.6,212,0.1,0.0324,C33H56N2O4
545.0004,8246,1.8,236,0.1,0.0661,C40H64
545.4144,12530,2.1,279,0.1,0.0435,C32H3NO9
545.4911,22736,2.5,323,0.2,0.024,C31H3N3O8
545.9964,7843,1.9,253,0.1,0.0696,C28H63N7O3
546.4951,11306,1.8,238,0.1,0.0483,C40H2O4
547.0019,15175,2.3,305,0.1,0.036,C26H62N10O2
547.3995,18681,3,397,0.2,0.0293,C31HNO10
547.4746,9820,3.2,419,0.2,0.0557,C35HNO7
548.0055,8695,2.1,281,0.1,0.063,C34H65N3O2
548.4283,23175,1.7,227,0.1,0.0237,C30N2O10
548.4982,11006,2.2,289,0.1,0.0498,C25H4N6O10
549.0108,14998,2,261,0.1,0.0366,C32H64N6O
549.4879,10632,5.2,693,0.3,0.0517,C35H3NO7
550.0246,19483,2.5,336,0.2,0.0282,C39H67N
550.2016,24357,1.7,227,0.1,0.0226,C30H2N2O10
