em,mf,unsat,error,ppm,info
300.0957508598,C12H16N2O7,6,0.0957508598,319.0677,N2O7C12H16
300.0970882727,C13H12N6O3,11,0.0970882727,323.5229,N6O3C13H12
300.0997736109,C17H16O5,10,0.0997736109,332.46810000000005,O5C17H16
300.1011110239,C18H12N4O,15,0.1011110239,336.9232,N4OC18H12
300.1029614988,C6H16N6O8,2,0.1029614988,343.0872,N6O8C6H16
300.1042989117,C7H12N10O4,7,0.1042989117,347.54220000000004,N10O4C7H12
300.105646837,C10H20O10,1,0.105646837,352.03220000000005,O10C10H20
300.1069842499,C11H16N4O6,6,0.1069842499,356.487,N4O6C11H16
300.1083216629,C12H12N8O2,11,0.1083216629,360.94190000000003,N8O2C12H12
300.1110070011,C16H16N2O4,10,0.1110070011,369.8865,N2O4C16H16
300.112344414,C17H12N6,15,0.112344414,374.3412,N6C17H12
300.1141948889,C5H16N8O7,2,0.1141948889,380.5048,N8O7C5H16
300.1150297523,C21H16O2,14,0.1150297523,383.28549999999996,O2C21H16
300.1168802272,C9H20N2O9,1,0.1168802272,389.449,N2O9C9H20
300.1182176401,C10H16N6O5,6,0.1182176401,393.90360000000004,N6O5C10H16
300.119555053,C11H12N10O,11,0.119555053,398.3581,N10OC11H12
300.1209029784,C14H20O7,5,0.1209029784,402.8476,O7C14H20
300.1222403913,C15H16N4O3,10,0.1222403913,407.302,N4O3C15H16
300.1254282791,C4H16N10O6,2,0.1254282791,417.9195,N10O6C4H16
300.1262631424,C20H16N2O,14,0.1262631424,420.7001,N2OC20H16
300.1281136174,C8H20N4O8,1,0.1281136174,426.86310000000003,N4O8C8H20
300.1294510303,C9H16N8O4,6,0.1294510303,431.3173,N8O4C9H16
300.1321363685,C13H20N2O6,5,0.1321363685,440.26059999999995,N2O6C13H20
300.1334737814,C14H16N6O2,10,0.1334737814,444.7147,N6O2C14H16
300.1361591197,C18H20O4,9,0.1361591197,453.6578,O4C18H20
300.1374965326,C19H16N4,14,0.1374965326,458.11179999999996,N4C19H16
300.1393470075,C7H20N6O7,1,0.1393470075,464.2744,N6O7C7H20
300.1406844204,C8H16N10O3,6,0.1406844204,468.7283,N10O3C8H16
300.1420323458,C11H24O9,0,0.1420323458,473.21709999999996,O9C11H24
300.1433697587,C12H20N4O5,5,0.1433697587,477.6709,N4O5C12H20
300.1447071716,C13H16N8O,10,0.1447071716,482.12469999999996,N8OC13H16
300.1473925098,C17H20N2O3,9,0.1473925098,491.06710000000004,N2O3C17H20
300.1505803977,C6H20N8O6,1,0.1505803977,501.6828,N8O6C6H20
300.151415261,C22H20O,13,0.151415261,504.4629,OC22H20
300.1532657359,C10H24N2O8,0,0.1532657359,510.62489999999997,N2O8C10H24
300.1546031488,C11H20N6O4,5,0.1546031488,515.0784,N6O4C11H20
300.1559405617,C12H16N10,10,0.1559405617,519.5318,N10C12H16
300.1572884871,C15H24O6,4,0.1572884871,524.0202,O6C15H24
300.1586259,C16H20N4O2,9,0.1586259,528.4736,N4O2C16H20
300.1618137878,C5H20N10O5,1,0.1618137878,539.0885000000001,N10O5C5H20
300.1626486511,C21H20N2,13,0.1626486511,541.8684,N2C21H20
300.1644991261,C9H24N4O7,0,0.1644991261,548.0299,N4O7C9H24
300.165836539,C10H20N8O3,5,0.165836539,552.4831,N8O3C10H20
300.1685218772,C14H24N2O5,4,0.1685218772,561.4242,N2O5C14H24
300.1698592901,C15H20N6O,9,0.1698592901,565.8772,N6OC15H20
300.1725446284,C19H24O3,8,0.1725446284,574.8182,O3C19H24
300.1757325162,C8H24N6O6,0,0.1757325162,585.4321,N6O6C8H24
300.1770699291,C9H20N10O2,5,0.1770699291,589.8849,N10O2C9H20
300.1797552674,C13H24N4O4,4,0.1797552674,598.8254000000001,N4O4C13H24
300.1810926803,C14H20N8,9,0.1810926803,603.2781,N8C14H20
300.1837780185,C18H24N2O2,8,0.1837780185,612.2184,N2O2C18H24
300.1869659064,C7H24N8O5,0,0.1869659064,622.8315,N8O5C7H24
300.1878007697,C23H24,12,0.1878007697,625.6108999999999,C23H24
300.1909886575,C12H24N6O3,4,0.1909886575,636.2238000000001,N6O3C12H24
300.1936739958,C16H28O5,3,0.1936739958,645.1635,O5C16H28
300.1950114087,C17H24N4O,8,0.1950114087,649.6158,N4OC17H24
300.1981992966,C6H24N10O4,0,0.1981992966,660.2281,N10O4C6H24
300.2022220477,C11H24N8O2,4,0.2022220477,673.6194,N8O2C11H24
300.204907386,C15H28N2O4,3,0.204907386,682.5584,N2O4C15H28
300.2062447989,C16H24N6,8,0.2062447989,687.0104,N6C16H24
300.2089301371,C20H28O2,7,0.2089301371,695.9491,O2C20H28
300.2134554379,C10H24N10O,4,0.2134554379,711.0122,N10OC10H24
300.2161407761,C14H28N4O3,3,0.2161407761,719.9506,N4O3C14H28
300.2201635273,C19H28N2O,7,0.2201635273,733.3402,N2OC19H28
300.2273741663,C13H28N6O2,3,0.2273741663,757.3399,N6O2C13H28
300.2300595045,C17H32O4,2,0.2300595045,766.2774000000001,O4C17H32
300.2313969174,C18H28N4,7,0.2313969174,770.7286,N4C18H28
300.2386075564,C12H28N8O,3,0.2386075564,794.7264,N8OC12H28
300.2412928947,C16H32N2O3,2,0.2412928947,803.6633,N2O3C16H32
300.2453156458,C21H32O,6,0.2453156458,817.0507,OC21H32
300.2498409466,C11H28N10,3,0.2498409466,832.1102,N10C11H28
